session,subject,period,p,score,median,upper,ownmatch,bc,g,x,y,z,bcx,bcy,bcz,winner,winnerx,winnery,winnerz,numwinners,prize,prizex,prizey,prizez,topay,year,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,sex,mu,ResponseTimeBC
3,30006,8,0.69999999,44,42.544212,1,1,3,1,0,0,1,2,1,3,0,0,1,0,1,0,0,6,0,11,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1
3,30013,8,0.69999999,45,42.544212,1,1,1,1,0,1,0,2,1,3,1,0,1,0,1,6,0,6,0,17,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,46
3,30013,9,0.69999999,45,42.544212,1,1,1,1,0,1,0,0,1,2,1,0,1,0,1,6,0,6,0,23,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,80
3,30011,2,0.69999999,51,42.544212,1,1,9,1,1,0,0,9,19,28,1,1,0,0,1,6,6,0,0,17,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2
3,30011,5,0.69999999,51,42.544212,1,1,5,1,1,0,0,5,6,85,0,0,1,0,1,0,0,6,0,29,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0
3,30011,7,0.69999999,51,42.544212,1,1,4,1,1,0,0,4,6,3,0,0,0,1,1,0,0,0,6,35,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0
3,30011,9,0.69999999,51,42.544212,1,1,0,1,1,0,0,0,1,2,0,0,1,0,1,0,0,6,0,35,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0
3,30006,4,0.69999999,44,42.544212,1,1,10,1,0,0,1,7,11,10,0,1,0,0,1,0,6,0,0,5,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,4
3,30013,5,0.69999999,45,42.544212,1,1,6,1,0,1,0,5,6,85,1,0,1,0,1,6,0,6,0,11,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,82
3,30011,3,0.69999999,51,42.544212,1,1,7,1,1,0,0,7,22,30,1,1,0,0,1,6,6,0,0,23,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0
3,30011,6,0.69999999,51,42.544212,1,1,5,1,1,0,0,5,9,7,1,1,0,0,1,6,6,0,0,35,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0
3,30013,2,0.69999999,45,42.544212,1,1,19,1,0,1,0,9,19,28,0,1,0,0,1,0,6,0,0,5,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,71
3,30006,10,0.69999999,44,42.544212,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,6,0,0,11,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,18
3,30013,1,0.69999999,45,42.544212,1,1,15,1,0,1,0,17,15,39,0,1,0,0,1,0,6,0,0,5,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,25
3,30013,7,0.69999999,45,42.544212,1,1,6,1,0,1,0,4,6,3,0,0,0,1,1,0,0,0,6,11,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,68
3,30006,5,0.69999999,44,42.544212,1,1,85,1,0,0,1,5,6,85,0,0,1,0,1,0,0,6,0,5,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,11
3,30013,6,0.69999999,45,42.544212,1,1,9,1,0,1,0,5,9,7,0,1,0,0,1,0,6,0,0,11,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,81
3,30006,6,0.69999999,44,42.544212,1,1,7,1,0,0,1,5,9,7,0,1,0,0,1,0,6,0,0,5,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1
3,30006,9,0.69999999,44,42.544212,1,1,2,1,0,0,1,0,1,2,0,0,1,0,1,0,0,6,0,11,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,33
3,30013,3,0.69999999,45,42.544212,1,1,22,1,0,1,0,7,22,30,0,1,0,0,1,0,6,0,0,5,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,71
3,30006,1,0.69999999,44,42.544212,1,1,39,1,0,0,1,17,15,39,0,1,0,0,1,0,6,0,0,5,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2
3,30011,8,0.69999999,51,42.544212,1,1,2,1,1,0,0,2,1,3,0,0,1,0,1,0,0,6,0,35,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1
3,30006,2,0.69999999,44,42.544212,1,1,28,1,0,0,1,9,19,28,0,1,0,0,1,0,6,0,0,5,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,10
3,30006,3,0.69999999,44,42.544212,1,1,30,1,0,0,1,7,22,30,0,1,0,0,1,0,6,0,0,5,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,19
3,30011,10,0.69999999,51,42.544212,1,1,0,1,1,0,0,0,1,1,1,1,0,0,1,6,6,0,0,41,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0
3,30006,7,0.69999999,44,42.544212,1,1,3,1,0,0,1,4,6,3,1,0,0,1,1,6,0,0,6,11,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,9
3,30011,1,0.69999999,51,42.544212,1,1,17,1,1,0,0,17,15,39,1,1,0,0,1,6,6,0,0,11,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1
3,30013,10,0.69999999,45,42.544212,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1,0,6,0,0,23,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,75
3,30011,4,0.69999999,51,42.544212,1,1,7,1,1,0,0,7,11,10,1,1,0,0,1,6,6,0,0,29,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0
3,30013,4,0.69999999,45,42.544212,1,1,11,1,0,1,0,7,11,10,0,1,0,0,1,0,6,0,0,5,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,72
3,30003,7,0.69999999,42,42.544212,0,1,6,2,0,0,1,0,3,6,0,0,1,0,1,0,0,6,0,26,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,13
3,30008,9,0.69999999,31,42.544212,0,1,1,2,0,1,0,0,1,4,1,0,1,0,1,6,0,6,0,25,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3
3,30003,6,0.69999999,42,42.544212,0,1,26,2,0,0,1,0,23,26,0,1,0,0,1,0,6,0,0,26,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,10
3,30003,4,0.69999999,42,42.544212,0,1,4,2,0,0,1,5,3,4,0,0,1,0,1,0,0,6,0,23,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,10
